|Grain|Grain Mill Products|Farm Products (excl. Grain)|Food Products|Chemicals|Petroleum & Petroleum Products|Primary Metal Products|Primary Forest Products|Lumber & Wood Products|Pulp & Paper Products|Non-Metallic Minerals (incl. Phosphates)|Crushed Stone, Sand & Gravel|Stone, Clay & Glass Products|Iron & Steel Scrap|Waste & Nonferrous Scrap|Motor Vehicles and Parts|Metallic Ores|Coal|Coke|All Other Carloads|Total Carloads|Trailers|Containers|Total Intermodal|Total Traffic|Non‐Metallic Minerals (incl. Phosphates)|Primary Forest Products*|Farm Products, Ex. Grain|Food & Kindred Products|Petroleum Products|Metals & Products|Pulp, Paper & Allied Products|Phosphate (Phospate Rock)|Automotive (Motor Vehicles & Equip.)|Military, Machinery & Transportation Equipment
Week 7 2020|2430.0|2116.0|175.0|1953.0|9837.0|3557.0|2554.0|613.0|970.0|2748.0|2317.0|4569.0|2125.0|1485.0|2405.0|9412.0|634.0|11902.0|1259.0|1383.0|64444.0|1612.0|49867.0|51479.0|115923.0||||||||||
Week 7 2019|3316.0|2231.0|237.0|1830.0|9702.0|3231.0|2542.0|698.0|1136.0|3035.0|2946.0|4217.0|2513.0|1355.0|2507.0|9206.0|723.0|14955.0|929.0|1039.0|68348.0|2257.0|52228.0|54485.0|122833.0||||||||||
Week 7 pct-change|26.7|5.2|26.2|6.7|1.4|10.1|0.5|12.2|14.6|9.5|21.4|8.3|15.4|9.6|4.1|2.2|12.3|20.4|35.5|33.1|5.7|28.6|4.5|5.5|5.6||||||||||
Week 7 2020 QTD|21697.0|14639.0|1374.0|14125.0|68808.0|24939.0|17681.0|4346.0|7524.0|21781.0|17943.0|30385.0|15094.0|9144.0|16842.0|52372.0|4895.0|92763.0|9123.0|7989.0|453464.0|12738.0|336508.0|349246.0|802710.0||||||||||
Week 7 2019 QTD|21322.0|14195.0|1683.0|13274.0|66923.0|23256.0|18884.0|4081.0|7739.0|21308.0|20794.0|26962.0|15874.0|8677.0|18081.0|57440.0|4932.0|106009.0|7810.0|7199.0|466443.0|15368.0|333496.0|348864.0|815307.0||||||||||
Week 7 QTD pct-change|1.8|3.1|18.4|6.4|2.8|7.2|6.4|6.5|2.8|2.2|13.7|12.7|4.9|5.4|6.9|8.8|0.8|12.5|16.8|11.0|2.8|17.1|0.9|0.1|1.5||||||||||
Week 7 2020 YTD|21697.0|14639.0|1374.0|14125.0|68808.0|24939.0|17681.0|4346.0|7524.0|21781.0|17943.0|30385.0|15094.0|9144.0|16842.0|52372.0|4895.0|92763.0|9123.0|7989.0|453464.0|12738.0|336508.0|349246.0|802710.0||||||||||
Week 7 2019 YTD|21322.0|14195.0|1683.0|13274.0|66923.0|23256.0|18884.0|4081.0|7739.0|21308.0|20794.0|26962.0|15874.0|8677.0|18081.0|57440.0|4932.0|106009.0|7810.0|7199.0|466443.0|15368.0|333496.0|348864.0|815307.0||||||||||
Week 7 YTD pct-change|1.8|3.1|18.4|6.4|2.8|7.2|6.4|6.5|2.8|2.2|13.7|12.7|4.9|5.4|6.9|8.8|0.8|12.5|16.8|11.0|2.8|17.1|0.9|0.1|1.5||||||||||
Week 6 2020|3366.0|2138.0|235.0|2145.0|10104.0|3724.0|2523.0|597.0|1188.0|2897.0|2196.0|4562.0|2371.0|1264.0|2424.0|8525.0|646.0|11964.0|1402.0|1422.0|65693.0|1668.0|50125.0|51793.0|117486.0||||||||||
Week 6 2019|3493.0|2145.0|235.0|1955.0|9917.0|3595.0|2743.0|579.0|1314.0|2954.0|3188.0|4155.0|2506.0|1205.0|2558.0|9442.0|742.0|15201.0|982.0|1002.0|69911.0|2108.0|50384.0|52492.0|122403.0||||||||||
Week 6 pct-change|3.6|0.3|0.0|9.7|1.9|3.6|8.0|3.1|9.6|1.9|31.1|9.8|5.4|4.9|5.2|9.7|12.9|21.3|42.8|41.9|6.0|20.9|0.5|1.3|4.0||||||||||
